date,region,marketing_spend,price,sales
2024-01-01,Alger,3233.19,2225.53,10132.8
2024-01-02,Oran,3708.71,34158.27,11083.36
2024-01-03,Constantine,4471.68,5260.0,13766.45
2024-01-04,Alger,1171.33,25762.41,3521.92
2024-01-05,Oran,230.03,10743.04,827.56
2024-01-06,Constantine,1180.16,29874.02,3240.07
2024-01-07,Alger,4066.21,1318.44,12778.62
2024-01-08,Oran,1767.23,8618.5,5338.61
2024-01-09,Constantine,4790.34,17493.13,14596.48
2024-01-10,Alger,4252.72,30582.58,12696.15
2024-01-11,Oran,4054.93,36756.86,11405.66
2024-01-12,Constantine,1954.82,28049.99,5682.08
2024-01-13,Alger,4164.08,31307.47,12535.56
2024-01-14,Oran,3552.4,3245.39,10891.85
2024-01-15,Constantine,1216.7,15180.01,3974.18
2024-01-16,Alger,594.91,14620.71,2062.29
2024-01-17,Oran,3214.85,18876.78,9673.02
2024-01-18,Constantine,1408.19,46896.07,3886.51
2024-01-19,Alger,3275.37,30847.42,9862.86
2024-01-20,Oran,900.67,19593.32,3094.51
2024-01-21,Constantine,4948.66,32359.99,14414.19
2024-01-22,Alger,4229.97,39024.0,12303.01
2024-01-23,Oran,1222.34,2572.91,4052.44
2024-01-24,Constantine,1133.82,47202.58,3102.13
2024-01-25,Alger,4394.2,16419.22,13241.86
2024-01-26,Oran,4581.28,23483.74,13607.85
2024-01-27,Constantine,1397.91,13084.75,4287.34
2024-01-28,Alger,2964.47,44993.32,8434.81
2024-01-29,Oran,2057.06,11746.72,6674.94
2024-01-30,Constantine,545.46,3308.7,2066.51
2024-01-31,Alger,637.28,31744.86,1831.68
2024-02-01,Oran,411.29,19699.35,1137.69
2024-02-02,Constantine,4980.99,26926.6,15295.06
2024-02-03,Alger,156.26,36315.37,170.7
2024-02-04,Oran,3440.38,27311.55,10244.7
2024-02-05,Constantine,646.61,22303.5,2278.42
2024-02-06,Alger,2323.25,47736.98,6626.18
2024-02-07,Oran,2552.87,9753.94,7853.55
2024-02-08,Constantine,4571.88,43655.41,13256.97
2024-02-09,Alger,3083.95,8489.12,9854.42
2024-02-10,Oran,3836.3,27429.57,11504.3
2024-02-11,Constantine,102.8,16883.65,228.8
2024-02-12,Alger,195.44,46525.83,428.94
2024-02-13,Oran,1606.82,3838.33,4983.04
2024-02-14,Constantine,4402.25,47400.52,12956.86
2024-02-15,Alger,439.14,38269.51,1170.3
2024-02-16,Oran,3852.59,7291.18,11662.31
2024-02-17,Constantine,1398.78,43749.22,3860.44
2024-02-18,Alger,2173.38,11378.11,6478.78
2024-02-19,Oran,1085.64,16274.1,3352.35
2024-02-20,Constantine,4976.23,32844.02,14548.36
2024-02-21,Alger,692.92,12010.17,2430.13
2024-02-22,Oran,1756.62,29827.13,5190.9
